race,state,municipality,locality,altitude,precipitation,temperature,grain_color ,rows_ear,average_length,altitude_cat,temperature_cat,precipitation_cat
maíz raza olotillo,Hidalgo,Atlapexco,Tenexco II,206,1384,24,['orange-yellow'],9.2,16.12,low,semi-warm,very abundant
maíz raza olotillo,Puebla,Zapotitlan de Mendez,Cerca de Nanacatlán,920,2415,20,['creamy white'],10.4,17.02,low,temperate,very abundant
maíz raza olotillo,Puebla,Zapotitlan de Mendez,Cerca de Nanacatlán,920,2415,20,,,,low,temperate,very abundant
maíz raza olotillo,Puebla,Zapotitlan de Mendez,Cerca de Nanacatlán,920,2415,20,"['blue', 'dark blue']",11.2,16.46,low,temperate,very abundant
maíz raza olotillo,Puebla,Zapotitlan de Mendez,Cerca de Nanacatlán,920,2415,20,['dark blue'],10.4,17.44,low,temperate,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Benito Juarez,Cerca de el Paraje,287,1384,23,['creamy white'],9.4,17.64,low,semi-warm,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Benito Juarez,Cerca de el Paraje,287,1384,23,"['creamy white', 'light yellow', 'medium yellow', 'orange-yellow']",9.8,16.15,low,semi-warm,very abundant
maíz raza olotillo,Oaxaca,San Bartolome Loxicha,El Tamarindo,723,1026,23,['light yellow'],9.4,16.265,low,semi-warm,abundant
maíz raza olotillo,Nuevo Leon,General Teran,Ejido la Purísima,339,705,22,['creamy white'],12.32,15.224,low,semi-warm,intermediate
maíz raza olotillo,Veracruz de Ignacio de la Llave,San Andres Tuxtla,"Cuesta Amarilla, Carretera el Salto-Abrevadero",103,1514,25,"['medium yellow', 'orange']",10.2,15.74,low,semi-warm,very abundant
maíz raza olotillo,Chiapas,Tuxtla Gutierrez,Tuxtla Gutierrez,534,970,25,"['white', 'light yellow']",,,low,hot,abundant
maíz raza olotillo,Chiapas,Tuxtla Gutierrez,Tuxtla Gutierrez,534,970,25,['light yellow'],8,15.2,low,hot,abundant
maíz raza olotillo,Oaxaca,Candelaria Loxicha,Miramar,784,1039,23,"['white', 'light yellow']",10.2,21.02,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,Candelaria Loxicha,Miramar,784,1039,23,['creamy white'],10.75,17.04,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,Candelaria Loxicha,El Cimiento,784,1039,23,"['creamy white', 'medium yellow']",11.4,17.34,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,Candelaria Loxicha,Miramar,784,1039,23,['creamy white'],10.1,19.745,low,semi-warm,abundant
maíz raza olotillo,Hidalgo,Huejutla de Reyes,Rancho Viejo,150,1343,24,"['yellow', 'red-orange', 'white']",10,17,low,semi-warm,abundant
maíz raza olotillo,Hidalgo,Huejutla de Reyes,Rancho Viejo,150,1343,24,"['yellow', 'red-orange', 'orange-yellow']",9.2,18.2,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,Santa Maria Tonameca,"La Florida, al Interior de Terreno Comunal, a 8 Km de Santa María Tonameca",33,1055,26,"['white', 'light yellow', 'dark blue']",11,15.5,low,hot,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Amatlan de los Reyes,Amatlan,736,1829,22,"['white', 'red']",10,13.6,low,semi-warm,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,San Andres Tuxtla,"Los Naranjos, Carretera San Andrés-los Naranjos",58,1426,25,['creamy white'],11.6,16.7,low,hot,very abundant
maíz raza olotillo,Chiapas,Teopisca,Beníto Juárez,2190,1215,15,['white'],,,high,cold,abundant
maíz raza olotillo,Chiapas,Teopisca,Beníto Juárez,2190,1215,15,['white'],,,high,cold,abundant
maíz raza olotillo,Chiapas,Teopisca,Beníto Juárez,2190,1215,15,['light yellow'],,,high,cold,abundant
maíz raza olotillo,Chiapas,Teopisca,Beníto Juárez,2190,1215,15,['light yellow'],,,high,cold,abundant
maíz raza olotillo,Chiapas,Teopisca,Beníto Juárez,2190,1215,15,['white'],,,high,cold,abundant
maíz raza olotillo,Chiapas,Teopisca,Beníto Juárez,2190,1215,15,['light yellow'],,,high,cold,abundant
maíz raza olotillo,Oaxaca,Candelaria Loxicha,Barrio Valencia,339,1084,25,,9.05263157894737,16.3578947368421,low,semi-warm,abundant
maíz raza olotillo,Guerrero,Ometepec,Cerca de Huixtepec (al NNW de la Localidad),391,1417,26,,,,low,hot,very abundant
maíz raza olotillo,Chiapas,Frontera Comalapa,Nicolás Bravo,735,1346,24,['white'],,,low,semi-warm,abundant
maíz raza olotillo,Guerrero,Atoyac de Alvarez,Santiago de la Unión,808,1582,23,['creamy white'],12.8,17.52,low,semi-warm,very abundant
maíz raza olotillo,Oaxaca,Santa Catarina Loxicha,La Nueva Esperanza,900,909,23,,11.9,18.285,low,semi-warm,abundant
maíz raza olotillo,Chiapas,Suchiapa,Cerca de Pacú,462,993,26,"['medium yellow', 'orange-yellow']",9,18.69,low,hot,abundant
maíz raza olotillo,Oaxaca,San Bartolome Loxicha,Vista al Mar,1151,1007,22,['creamy white'],9.6,15.44,low,semi-warm,abundant
maíz raza olotillo,Chiapas,Comitan de Dominguez,Volantón 8 Km Comitán,1908,1165,17,['light yellow'],,,high,cold,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Chicontepec,"Cerca de Chalahuiapa, en el Ejido de Chalahuayapan",230,1339,23,['creamy white'],9.6,18.01,low,semi-warm,abundant
maíz raza olotillo,Guerrero,Coyuca de Benitez,El Encino Prieto,359,1162,26,['creamy white'],13.2,16.8,low,hot,abundant
maíz raza olotillo,Quintana Roo,Jose Maria Morelos,Ejido Piedras Negras,116,1121,25,['white'],10,14.8,low,semi-warm,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,San Andres Tuxtla,"La Redonda, Carretera Tilapan-Río Tuxpan",61,1391,25,['creamy white'],9.8,13.34,low,hot,very abundant
maíz raza olotillo,Guerrero,Malinaltepec,Rancho Viejo,1069,1893,23,['creamy white'],10.8,16.7,low,semi-warm,very abundant
maíz raza olotillo,Guerrero,Malinaltepec,Rancho Viejo,1069,1893,23,['medium yellow'],12.4,15.8,low,semi-warm,very abundant
maíz raza olotillo,Hidalgo,Metztitlan,Tlaxco,1701,527,17,['creamy white'],,,medium altitude,cold,low
maíz raza olotillo,Veracruz de Ignacio de la Llave,Catemaco,"La Candelaria, Carretera Catemaco-Juan Díaz Covarrubias",484,1730,23,['creamy white'],11,18.09,low,semi-warm,very abundant
maíz raza olotillo,Chiapas,Frontera Comalapa,Cerca de San Caralampio,585,1339,25,['white'],,,low,semi-warm,abundant
