raza,estado,municipio,localidad,altitud,precipitacion,temperatura,color_grano,hileras_mazorca,longitud_promedio,cat_altitud,cat_temperatura,cat_precipitacion
maíz raza olotillo,hidalgo,atlapexco,tenexco ii,206.0,1384,24,['amarillo naranja'],9.2,16.12,bajas,semi-caliente,muy abundantes
maíz raza olotillo,puebla,zapotitlan de mendez,cerca de nanacatlán,920.0,2415,20,['blanco cremoso'],10.4,17.02,bajas,templada,muy abundantes
maíz raza olotillo,puebla,zapotitlan de mendez,cerca de nanacatlán,920.0,2415,20,no disponible,no disponible,no disponible,bajas,templada,muy abundantes
maíz raza olotillo,puebla,zapotitlan de mendez,cerca de nanacatlán,920.0,2415,20,"['azul', 'azul oscuro']",11.2,16.46,bajas,templada,muy abundantes
maíz raza olotillo,puebla,zapotitlan de mendez,cerca de nanacatlán,920.0,2415,20,['azul oscuro'],10.4,17.44,bajas,templada,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,benito juarez,cerca de el paraje,287.0,1384,23,['blanco cremoso'],9.4,17.64,bajas,semi-caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,benito juarez,cerca de el paraje,287.0,1384,23,"['blanco cremoso', 'amarillo claro', 'amarillo medio', 'amarillo naranja']",9.8,16.15,bajas,semi-caliente,muy abundantes
maíz raza olotillo,oaxaca,san bartolome loxicha,el tamarindo,723.0,1026,23,['amarillo claro'],9.4,16.265,bajas,semi-caliente,abundantes
maíz raza olotillo,nuevo leon,general teran,ejido la purísima,339.0,705,22,['blanco cremoso'],12.32,15.224,bajas,semi-caliente,intermedias
maíz raza olotillo,veracruz de ignacio de la llave,san andres tuxtla,"cuesta amarilla, carretera el salto-abrevadero",103.0,1514,25,"['amarillo medio', 'naranja']",10.2,15.74,bajas,semi-caliente,muy abundantes
maíz raza olotillo,chiapas,tuxtla gutierrez,tuxtla gutierrez,534.0,970,25,"['blanco', 'amarillo claro']",no disponible,no disponible,bajas,caliente,abundantes
maíz raza olotillo,chiapas,tuxtla gutierrez,tuxtla gutierrez,534.0,970,25,['amarillo claro'],8,15.2,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,candelaria loxicha,miramar,784.0,1039,23,"['blanco', 'amarillo claro']",10.2,21.02,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,candelaria loxicha,miramar,784.0,1039,23,['blanco cremoso'],10.75,17.04,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,candelaria loxicha,el cimiento,784.0,1039,23,"['blanco cremoso', 'amarillo medio']",11.4,17.34,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,candelaria loxicha,miramar,784.0,1039,23,['blanco cremoso'],10.1,19.745,bajas,semi-caliente,abundantes
maíz raza olotillo,hidalgo,huejutla de reyes,rancho viejo,150.0,1343,24,"['amarillo', 'rojo naranja', 'blanco']",10,17,bajas,semi-caliente,abundantes
maíz raza olotillo,hidalgo,huejutla de reyes,rancho viejo,150.0,1343,24,"['amarillo', 'rojo naranja', 'amarillo naranja']",9.2,18.2,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,santa maria tonameca,"la florida, al interior de terreno comunal, a 8 km de santa maría tonameca",33.0,1055,26,"['blanco', 'amarillo claro', 'azul oscuro']",11,15.5,bajas,caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,amatlan de los reyes,amatlan,736.0,1829,22,"['blanco', 'rojo']",10,13.6,bajas,semi-caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,san andres tuxtla,"los naranjos, carretera san andrés-los naranjos",58.0,1426,25,['blanco cremoso'],11.6,16.7,bajas,caliente,muy abundantes
maíz raza olotillo,chiapas,teopisca,beníto juárez,2190.0,1215,15,['blanco'],no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,chiapas,teopisca,beníto juárez,2190.0,1215,15,['blanco'],no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,chiapas,teopisca,beníto juárez,2190.0,1215,15,['amarillo claro'],no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,chiapas,teopisca,beníto juárez,2190.0,1215,15,['amarillo claro'],no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,chiapas,teopisca,beníto juárez,2190.0,1215,15,['blanco'],no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,chiapas,teopisca,beníto juárez,2190.0,1215,15,['amarillo claro'],no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,oaxaca,candelaria loxicha,barrio valencia,339.0,1084,25,no disponible,9.05263157894737,16.3578947368421,bajas,semi-caliente,abundantes
maíz raza olotillo,guerrero,ometepec,cerca de huixtepec (al nnw de la localidad),391.0,1417,26,no disponible,no disponible,no disponible,bajas,caliente,muy abundantes
maíz raza olotillo,chiapas,frontera comalapa,nicolás bravo,735.0,1346,24,['blanco'],no disponible,no disponible,bajas,semi-caliente,abundantes
maíz raza olotillo,guerrero,atoyac de alvarez,santiago de la unión,808.0,1582,23,['blanco cremoso'],12.8,17.52,bajas,semi-caliente,muy abundantes
maíz raza olotillo,oaxaca,santa catarina loxicha,la nueva esperanza,900.0,909,23,no disponible,11.9,18.285,bajas,semi-caliente,abundantes
maíz raza olotillo,chiapas,suchiapa,cerca de pacú,462.0,993,26,"['amarillo medio', 'amarillo naranja']",9,18.69,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,san bartolome loxicha,vista al mar,1151.0,1007,22,['blanco cremoso'],9.6,15.44,bajas,semi-caliente,abundantes
maíz raza olotillo,chiapas,comitan de dominguez,volantón 8 km comitán,1908.0,1165,17,['amarillo claro'],no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,chicontepec,"cerca de chalahuiapa, en el ejido de chalahuayapan",230.0,1339,23,['blanco cremoso'],9.6,18.01,bajas,semi-caliente,abundantes
maíz raza olotillo,guerrero,coyuca de benitez,el encino prieto,359.0,1162,26,['blanco cremoso'],13.2,16.8,bajas,caliente,abundantes
