accession_ID	source	country	state	municipality	locality	latitude	longitude	altitude
ROO_E12	Hugo Perales Rivera	México	Quintana Roo	Felipe Carrillo Puerto	Chumpon			
VER_E2	CIMMYTMA29569	México	Veracruz	Tantoyuca				
SLP_E4	CIMMYTMA29498	México	San Luis Potosí	Xilitla				
ROO_E11	Hugo Perales Rivera	México	Quintana Roo	Felipe Carrillo Puerto	Chumpon			
CAM_E13	Hugo Perales Rivera	México	Campeche	Puerto Campeche				
SLP_E8	CIMMYTMA29464	México	San Luis Potosí	Tampacán				
CHIS_E9	Hugo Perales Rivera	México	Chiapas					
CAM_E16	Hugo Perales Rivera	México	Campeche	Champoton				
SLP_E7	CIMMYTMA29464	México	San Luis Potosí	Tampacán				
CHIS_E10	Hugo Perales Rivera	México	Chiapas					
VER_E1	CIMMYTMA29569	México	Veracruz	Tantoyuca				
SLP_E3	CIMMYTMA29498	México	San Luis Potosí	Xilitla				
HGO_E6	CIMMYTMA29343	México	Hidalgo	Jaltocán				
HGO_E5	CIMMYTMA29343	México	Hidalgo	Jaltocán				
CAM_E14	Hugo Perales Rivera	México	Campeche	Puerto Campeche				
CAM_E15	Hugo Perales Rivera	México	Campeche	Champoton				
