ID,sampled_by,source ,accesion_bank,collection_year,state,municipality,locality,latitude,longitude,altitude,species,colour ,race,type
CHIS_R01,Bulmaro Coutiño Estrada,field,,2018,Chiapas ,Cintalapa ,Corazón del Valle ,16.41680096,-93.98399715,784.852259,Zea mays ssp. mays ,white,Olotillo,regional 
CHIS_R02,Duhyadi Oliva García,field,,2018,Chiapas ,Villaflores ,Ricardo Flores Magón ,16.29907311,-93.59203858,712.9296236,Zea mays ssp. mays ,white,Olotillo,regional 
CHIS_R03,Duhyadi Oliva García,field,,2018,Chiapas ,Tonalá ,"Ejido ""Las Palmas"" ",16.05654558,-93.63617801,286.709438,Zea mays ssp. mays ,various,Cuarentano42OlotillomoradoDientedevenadoJarocho,regional 
CHIS_L04,Duhyadi Oliva García,field,,2018,Chiapas ,Ocozocuatla ,El Gavilán ,16.74958638,-93.45830996,767.6349655,Zea mays ssp. mays ,white,Olotillo,local
CHIS_R05,Bulmaro Coutiño Estrada,field,,2018,Chiapas ,Cintalapa ,Corazón del Valle ,16.41680096,-93.98399715,784.852259,Zea mays ssp. mays ,white,Olotillo,regional 
CHIS_R06,Duhyadi Oliva García,field,,2018,Chiapas ,Suchiapa ,"El Recreo ""Plan de Mulumi"" ",16.63448026,-93.1205578,427.5911362,Zea mays ssp. mays ,white,Olotillo,regional 
CHIS_R07,Duhyadi Oliva García,field,,2018,Chiapas ,Suchiapa ,"El Recreo ""Plan de Mulumi"" ",16.63448026,-93.1205578,427.5911362,Zea mays ssp. mays ,yellow,Olotillo,regional 
CHIS_L08,Bulmaro Coutiño Estrada,field,,2018,Chiapas ,Ocozocuatla ,"San Isidro, Ciénega Silviana_predio",16.67667,-93.41167,786,Zea mays ssp. mays ,white,Olotillo,local
CHIS_R09,Duhyadi Oliva García,field,,2018,Chiapas ,Suchiapa ,"Plan de Mulumi ejido ""Miguel Hidalgo Plan”",16.63548283,-93.12147537,444.338477,Zea mays ssp. mays ,white,Olotillo,regional 
CHIS_R10,Duhyadi Oliva García,field,,2018,Chiapas ,Cintalapa ,Villamorelos ,16.47827842,-93.92893905,704.2106468,Zea mays ssp. mays ,white,Olotillo,regional 
CHIS_R11,Duhyadi Oliva García,field,,2018,Chiapas ,El Parral ,El Parral ,16.36401651,-93.00194529,651.2208794,Zea mays ssp. mays ,white,Olotillo,regional 
GRO_N12,Noel Orlando Gómez Montiel ,field,,2018,Guerrero ,Ayutla ,La Lima ,16.794167,-99.013333,281,Zea mays ssp. mays ,white,Olotillo,national
GRO_N13,Noel Orlando Gómez Montiel ,field,,2018,Guerrero ,San Luis Acatlán,Yoloxochitl,16.8115278,-98.68422222,610,Zea mays ssp. mays ,white,Olotillo,national
GRO_N14,Noel Orlando Gómez Montiel ,field,,2018,Guerrero ,San Luis Acatlán,El Carmen ,16.8155,-98.76111111,287,Zea mays ssp. mays ,white,Olotillo,national
GRO_N15,Noel Orlando Gómez Montiel ,field,,2018,Guerrero ,San Luis Acatlán,Cuanacaxtitlan,16.7951944,-98.63719444,438,Zea mays ssp. mays ,white,Olotillo,national
GRO_N16,Noel Orlando Gómez Montiel ,field,,2018,Guerrero ,San Luis Acatlán,Yoloxochitl,16.8158056,-98.68438889,615,Zea mays ssp. mays ,white,Olotillo,national
GRO_N17,Noel Orlando Gómez Montiel ,field,,2018,Guerrero ,Marquelia ,Cruz Verde ,16.7137222,-98.76347222,143,Zea mays ssp. mays ,white,Olotillo,national
GRO_N18,Noel Orlando Gómez Montiel ,field,,2018,Guerrero ,Coyuca de Benítez ,Atoyaquillo,17.1046944,-100.0449722,175,Zea mays ssp. mays ,white,Olotillo,national
GRO_N19,Noel Orlando Gómez Montiel ,field,,2018,Guerrero ,San Luis Acatlán,Yoloxochitl,16.8155,-90.68991667,615,Zea mays ssp. mays ,white,Olotillo,national
