taxon_id,taxon,genero,especie,subespecie,raza,fuente,proyecto,procedencia,fecha_colecta_observacion,colector_observador,determinador,id,estado,municipio,localidad,latitud,longitud,altitud
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ016,Colectado,2009-07-12/9999,"Leocadio Martínez Hernández; Juan Pablo Pérez Camarillo","Juan Manuel Hernández Casillas",a569d2ef3c3f61e03a95f22975fcde76,HIDALGO,ATLAPEXCO,"Tenexco II",21.069723,-98.3550033,206
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ016,Colectado,2010-03-16/9999,"Emmanuel Muñoz de la Vega","Mauro Sierra Macías",11fd3ff49a5adc5636a25a93154d1276,PUEBLA,"ZAPOTITLAN DE MENDEZ","Cerca de Nanacatlán",20.003723,-97.6774977,920
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ016,Colectado,2010-03-16/9999,"Emmanuel Muñoz de la Vega","Mauro Sierra Macías",389e248de147e920473329be94cc18af,PUEBLA,"ZAPOTITLAN DE MENDEZ","Cerca de Nanacatlán",20.003723,-97.6774977,920
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ016,Colectado,2010-03-16/9999,"Emmanuel Muñoz de la Vega","Mauro Sierra Macías",5eaed1853bd89eff1c31d1a494fee1c0,PUEBLA,"ZAPOTITLAN DE MENDEZ","Cerca de Nanacatlán",20.003723,-97.6774977,920
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ016,Colectado,2010-03-16/9999,"Emmanuel Muñoz de la Vega","Mauro Sierra Macías",b706499c89afc4c1c7152ed18e9448ed,PUEBLA,"ZAPOTITLAN DE MENDEZ","Cerca de Nanacatlán",20.003723,-97.6774977,920
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ016,Colectado,2010-03-24/9999,"Mauro Sierra Macías","Mauro Sierra Macías",0e006596620aeb6b00f1689025d59db8,"VERACRUZ DE IGNACIO DE LA LLAVE","BENITO JUAREZ","Cerca de El Paraje",20.8440833,-98.1711944,287
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ016,Colectado,2010-03-24/9999,"Mauro Sierra Macías","Mauro Sierra Macías",839a7ee152002b217fdbefbc0b546907,"VERACRUZ DE IGNACIO DE LA LLAVE","BENITO JUAREZ","Cerca de El Paraje",20.8440833,-98.1711944,287
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2007-07-24/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",3e0ab71afe8e8256740fc954cb934e64,OAXACA,"SAN BARTOLOME LOXICHA","El Tamarindo",15.9090278,-96.7304722,723
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ002,Colectado,2008-02-21/9999,"Juan Valadez Gutiérrez; Julio César García Rodríguez","Juan Manuel Hernández Casillas",87085f3f806edb1103429c08fe93147b,"NUEVO LEON","GENERAL TERAN","Ejido la Purísima",25.2649167,-99.7344722,339
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ016,Colectado,2009-12-02/9999,"Andrés Zambada Martínez","Juan Manuel Hernández Casillas",f012252c256444f2528c80e069bb9380,"VERACRUZ DE IGNACIO DE LA LLAVE","SAN ANDRES TUXTLA","Cuesta Amarilla, carretera El Salto-Abrevadero",18.3491111,-95.2333888,103
