"sample_name","O.HOM.","E.HOM.","N_SITES","F","state","accession_ID","scale","Race","O.HET.","E.HET.","HETob","HETex","HOMex"
"CAM_E13_1",77591,60073.1,85304,0.6943,"Campeche","CAM_E54","National","Dzit-bacal",7713,25230.9,0.0904177998687049,0.2957762824721,0.7042237175279
"CAM_E14_1",78153,60019.7,85215,0.71971,"Campeche","CAM_E54","National","Dzit-bacal",7062,25195.3,0.082872733673649,0.295667429443173,0.704332570556827
"CAM_E15_1",77854,59404.5,84346,0.73971,"Campeche","CAM_E55","National","Dzit-bacal",6492,24941.5,0.0769686766414531,0.295704597728404,0.704295402271596
"CAM_E16",78320,59760.7,84868,0.7392,"Campeche","CAM_E55","National","Dzit-bacal",6548,25107.3,0.0771551114672197,0.295839421218834,0.704160578781166
"CAM_E21_1",77245,58133.8,82492,0.78459,"Campeche","CAM_E58","National","Tuxpeño",5247,24358.2,0.0636061678708238,0.295279542258643,0.704720457741357
"CAM_E22_1",77378,58862.7,83550,0.74999,"Campeche","CAM_E58","National","Tuxpeño",6172,24687.3,0.0738719329742669,0.295479353680431,0.704520646319569
"CAM_E25_1",77343,58605.2,83176,0.7626,"Campeche","CAM_E60","National","Tuxpeño",5833,24570.8,0.0701284024237761,0.295407329037222,0.704592670962778
"CAM_E26_1",77694,58544.3,83087,0.78026,"Campeche","CAM_E60","National","Tuxpeño",5393,24542.7,0.0649078676567935,0.295385559714516,0.704614440285484
"CHIS_E10_1",77500,59031.1,83822,0.74499,"Chiapas","CHIS_E52","Regional","Olotillo",6322,24790.9,0.0754217269929136,0.295756483977953,0.704243516022047
"CHIS_E23_1",76789,57739.9,81967,0.78627,"Chiapas","CHIS_E59","National","Olotillo",5178,24227.1,0.063171764246587,0.29557138848561,0.70442861151439
"CHIS_E24_1",77484,58575.3,83163,0.76903,"Chiapas","CHIS_E59","National","Olotillo",5679,24587.7,0.0682875798131381,0.295656722340464,0.704343277659536
"CHIS_E9_1",78506,60381.4,85728,0.71507,"Chiapas","CHIS_E52","Regional","Olotillo",7222,25346.6,0.0842431877566256,0.295663027248973,0.704336972751026
"CHIS_L04_1",77907,60101.1,85333,0.70569,"Chiapas","CHIS_L04","Local","Olotillo",7426,25231.9,0.0870237774366306,0.295687483154231,0.704312516845769
"CHIS_L04_2",77612,60065.8,85323,0.6947,"Chiapas","CHIS_L04","Local","Olotillo",7711,25257.2,0.0903742250038091,0.296018658509429,0.703981341490571
"CHIS_L04_3",76791,57667.9,81810,0.79211,"Chiapas","CHIS_L04","Local","Olotillo",5019,24142.1,0.0613494682801613,0.295099621073218,0.704900378926782
"CHIS_L04_4",77531,58728.6,83359,0.76338,"Chiapas","CHIS_L04","Local","Olotillo",5828,24630.4,0.0699144663443659,0.295473794071426,0.704526205928574
"CHIS_L08_1",77947,59245.4,84067,0.75344,"Chiapas","CHIS_L08","Local","Olotillo",6120,24821.6,0.072799076926737,0.295259733307957,0.704740266692043
"CHIS_L08_2",78076,60193.1,85481,0.70717,"Chiapas","CHIS_L08","Local","Olotillo",7405,25287.9,0.0866274376762087,0.295830652425685,0.704169347574315
"CHIS_L08_3",80292,59465.2,84475,0.83275,"Chiapas","CHIS_L08","Local","Olotillo",4183,25009.8,0.0495176087599882,0.296061556673572,0.703938443326428
"CHIS_L08_4",77718,59213.7,84049,0.74508,"Chiapas","CHIS_L08","Local","Olotillo",6331,24835.3,0.0753251079727302,0.29548596651953,0.70451403348047
"CHIS_L33_1",5484,3865.8,5492,0.99508,"Chiapas","CHIS_L33","Local","Olotillo",8,1626.2,0.00145666423889294,0.296103423160961,0.703896576839039
"CHIS_L33_2",77331,58657.6,83299,0.75781,"Chiapas","CHIS_L33","Local","Olotillo",5968,24641.4,0.0716455179533968,0.295818677295046,0.704181322704954
"CHIS_L33_3",77766,58993.6,83741,0.75856,"Chiapas","CHIS_L33","Local","Olotillo",5975,24747.4,0.0713509511469889,0.295523100989957,0.704476899010043
"CHIS_L33_4",78107,59414.2,84346,0.74976,"Chiapas","CHIS_L33","Local","Olotillo",6239,24931.8,0.0739691271666706,0.29558959523866,0.70441040476134
"CHIS_L34_1",78337,59284.8,84137,0.76662,"Chiapas","CHIS_L34","Local","Olotillo",5800,24852.2,0.0689351890369279,0.2953777767213,0.7046222232787
"CHIS_L34_2",77424,58700.1,83299,0.76117,"Chiapas","CHIS_L34","Local","Olotillo",5875,24598.9,0.0705290579718844,0.29530846708844,0.70469153291156
"CHIS_L34_3",78742,60125.9,85372,0.73739,"Chiapas","CHIS_L34","Local","Olotillo",6630,25246.1,0.0776601227568758,0.295718736822377,0.704281263177623
"CHIS_L34_4",77803,60207.1,85493,0.69588,"Chiapas","CHIS_L34","Local","Olotillo",7690,25285.9,0.0899488847040109,0.295765735206391,0.704234264793609
"CHIS_L35_1",78329,59649.1,84643,0.74738,"Chiapas","CHIS_L35","Local","Olotillo",6314,24993.9,0.0745956546908782,0.295286083905344,0.704713916094656
"CHIS_L35_2",77967,60144.5,85394,0.70586,"Chiapas","CHIS_L35","Local","Olotillo",7427,25249.5,0.0869733236527157,0.295682366442607,0.704317633557393
"CHIS_L35_3",78336,60426,85805,0.7057,"Chiapas","CHIS_L35","Local","Olotillo",7469,25379,0.087046209428355,0.295775304469437,0.704224695530564
"CHIS_L35_4",77139,59275.3,84143,0.71835,"Chiapas","CHIS_L35","Local","Olotillo",7004,24867.7,0.0832392474715663,0.295540924378736,0.704459075621264
"CHIS_L36_1",73628,59101.4,83946,0.5847,"Chiapas","CHIS_L36","Local","Olotillo",10318,24844.6,0.122912348414457,0.295959307173659,0.704040692826341
"CHIS_L36_2",71771,58463,83042,0.54144,"Chiapas","CHIS_L36","Local","Olotillo",11271,24579,0.135726499843453,0.295982755713976,0.704017244286024
"CHIS_L36_5",79631,58715.4,83351,0.849,"Chiapas","CHIS_L36","Local","Olotillo",3720,24635.6,0.0446305383258749,0.295564540317453,0.704435459682547
"CHIS_L36_8",77976,59462.3,84386,0.74281,"Chiapas","CHIS_L36","Local","Olotillo",6410,24923.7,0.075960467376105,0.295353494655512,0.704646505344488
"CHIS_L37_1",70124,58798.6,83543,0.4577,"Chiapas","CHIS_L37","Local","Olotillo",13419,24744.4,0.160623870342219,0.296187592018481,0.703812407981518
"CHIS_L37_2",78255,59445.4,84401,0.75372,"Chiapas","CHIS_L37","Local","Olotillo",6146,24955.6,0.0728190424284072,0.295678961149749,0.704321038850251
"CHIS_L37_3",77443,58294.8,82728,0.7837,"Chiapas","CHIS_L37","Local","Olotillo",5285,24433.2,0.0638840537665603,0.295343777197563,0.704656222802437
"CHIS_L37_4",77160,59659.1,84744,0.69767,"Chiapas","CHIS_L37","Local","Olotillo",7584,25084.9,0.0894930614556783,0.296007976965921,0.703992023034079
"CHIS_L38_1",77156,58122.4,82505,0.78062,"Chiapas","CHIS_L38","Local","Mix",5349,24382.6,0.0648324343979153,0.29552875583298,0.70447124416702
