"plate_name"	"well"		"sample_name"	"accession_ID"	"concentration"	"volume"	"DNA_yield"	"accession_label"		"country"	"state"	"municipality"	"locality"	"latitude"	"longitude"	"altitude"	"source"	"scale"
"olotillo_plate2"	"A1"		"GAV_F1R2_1"	"GAV_F1R2"	111	30	3330											"_F"
"olotillo_plate2"	"B1"		"GRO_N23_3"	"GRO_N23"	58.6	30	1758	23		"México"	"Guerrero"	"Coyuca de Benítez"	"La Lima"	16.9850833	-99.86388889	324		"_N"
"olotillo_plate2"	"C1"		"CHIS_L34_1"	"CHIS_L34"	32.4	30	972	34		"México"	"Chiapas"	"Ocozocuatla"	"Ejido San Rafael"					"_L"
"olotillo_plate2"	"D1"		"CHIS_L34_2"	"CHIS_L34"	49.6	30	1488	34		"México"	"Chiapas"	"Ocozocuatla"	"Ejido San Rafael"					"_L"
"olotillo_plate2"	"E1"		"CHIS_L43_3"	"CHIS_L43"	51.5	30	1545	43		"México"	"Chiapas"	"Ocozocuatla"	"Región Mazotho_ejido Ocozocuatla "					"_L"
"olotillo_plate2"	"F1"		"GRO_N13_3"	"GRO_N13"	92.8	30	2784	13		"México"	"Guerrero"	"San Luis Acatlán"	"Yoloxochitl"	16.8115278	-98.68422222	610		"_N"
"olotillo_plate2"	"G1"		"GAV_F1L3_1"	"GAV_F1L3"	118	30	3540											"_F"
"olotillo_plate2"	"H1"		"CHIS_R05_4"	"CHIS_R05"	42.1	30	1263	5		"México"	"Chiapas"	"Cintalapa"	"Corazón del Valle"	16.41680096	-93.98399715	784.852259		"_R"
"olotillo_plate2"	"A2"		"NAY_N47_1"	"NAY_N47"	83	30	2490	47		"México"	"Nayarit"	"La Yesca"	"Huajimic"	21.6436944	-104.3425556	1211		"_N"
"olotillo_plate2"	"B2"		"CHIS_L35_4"	"CHIS_L35"	56.2	30	1686	35		"México"	"Chiapas"	"Ocozocuatla"	"El Gavilán"					"_L"
"olotillo_plate2"	"C2"		"CHIS_L35_1"	"CHIS_L35"	35	30	1050	35		"México"	"Chiapas"	"Ocozocuatla"	"El Gavilán"					"_L"
"olotillo_plate2"	"D2"		"OAX_N32_1"	"OAX_N32"	48.1	30	1443	32		"México"	"Oaxaca"	""	""					"_N"
"olotillo_plate2"	"E2"		"GAV_F1L2_2"	"GAV_F1L2"	101	30	3030											"_F"
"olotillo_plate2"	"F2"		"CHIS_R06_4"	"CHIS_R06"	39.4	30	1182	6		"México"	"Chiapas"	"Suchiapa"	"El Recreo \"Plan de Mulumi\""	16.63448026	-93.1205578	427.5911362		"_R"
