sample_id,state,scale,race
GRO_N14_1,Guerrero,National,Olotillo
CHIS_L36_1,Chiapas,Local,Olotillo
CHIS_L43_4,Chiapas,Local,Olotillo
CHIS_L42_1,Chiapas,Local,Olotillo
GRO_N13_2,Guerrero,National,Olotillo
NAY_N27_3,Nayarit,National,Olotillo
ROO_E12_1,Quintana Roo,National,Dzit-bacal
GRO_N23_1,Guerrero,National,Olotillo
CHIS_L35_2,Chiapas,Local,Olotillo
GRO_N26_4,Guerrero,National,Olotillo
NAY_N27_2,Nayarit,National,Olotillo
NAY_N29_4,Nayarit,National,Olotillo
CHIS_R10_1,Chiapas,Regional,Olotillo
CHIS_R40_2,Chiapas,Regional,Olotillo
CHIS_L42_3,Chiapas,Local,Olotillo
CHIS_L45_2,Chiapas,Local,Olotillo
CHIS_L08_2,Chiapas,Local,Olotillo
OAX_N31_4,Oaxaca,National,Olotillo
GRO_N19_2,Guerrero,National,Olotillo
CHIS_L33_1,Chiapas,Local,Olotillo
GRO_N20_1,Guerrero,National,Olotillo
CHIS_R06_2,Chiapas,Regional,Olotillo
VER_E2_1,Veracruz,National,Olotillo
NAY_N29_2,Nayarit,National,Olotillo
SLP_E4_1,San Luis Potosí,National,Olotillo
GRO_N26_2,Guerrero,National,Olotillo
CHIS_L43_1,Chiapas,Local,Olotillo
NAY_N30_3,Nayarit,National,Olotillo
CHIS_R10_2,Chiapas,Regional,Olotillo
CHIS_R11_2,Chiapas,Regional,Olotillo
ROO_E11_1,Quintana Roo,National,Dzit-bacal
CHIS_L37_1,Chiapas,Local,Olotillo
CHIS_L04_1,Chiapas,Local,Olotillo
GRO_N19_1,Guerrero,National,Olotillo
GRO_N18_2,Guerrero,National,Olotillo
CHIS_L08_3,Chiapas,Local,Olotillo
CHIS_L41_4,Chiapas,Local,Olotillo
CHIS_L37_4,Chiapas,Local,Olotillo
GRO_N13_1,Guerrero,National,Olotillo
CHIS_L44_2,Chiapas,Local,Olotillo
CHIS_R06_3,Chiapas,Regional,Olotillo
NAY_N30_1,Nayarit,National,Olotillo
GRO_N20_2,Guerrero,National,Olotillo
