"plate_name","well","sample_name","accession_ID","concentration","volume","DNA_yield","accession_label","country","state","municipality","locality","latitude","longitude","altitude","scale","Race"
"olotillo_plate1","A1","GRO_N14_1","GRO_N14",19.6,30,588,14,"México","Guerrero","San Luis Acatlán","El Carmen",16.8155,-98.76111111,287,"National","Olotillo"
"olotillo_plate1","B1","CHIS_L36_1","CHIS_L36",68,30,2040,36,"México","Chiapas","Jiquipilas","Benito Juárez",16.782556,-93.608043,NA,"Local","Olotillo"
"olotillo_plate1","C1","CHIS_L43_4","CHIS_L43",43.8,30,1314,43,"México","Chiapas","Ocozocuatla","Región Mazotho_ejido Ocozocuatla ",NA,NA,NA,"Local","Olotillo"
"olotillo_plate1","D1","CHIS_L42_1","CHIS_L42",49.2,30,1476,42,"México","Chiapas","Ocozocuatla","Rancho San Isidro",NA,NA,NA,"Local","Olotillo"
"olotillo_plate1","E1","GRO_N13_2","GRO_N13",150,30,4500,13,"México","Guerrero","San Luis Acatlán","Yoloxochitl",16.8115278,-98.68422222,610,"National","Olotillo"
"olotillo_plate1","F1","NAY_N27_3","NAY_N27",32.8,30,984,27,"México","Nayarit","Ixtlán del Río","Cacalutan",21.1166833,-104.2615556,902,"National","Olotillo"
"olotillo_plate1","G1","ROO_E12_1","ROO_E53",31,30,930,NA,"México","Quintana Roo","Felipe Carrillo Puerto","Chumpon",NA,NA,NA,"Extra","Dzit-bacal"
"olotillo_plate1","H1","GRO_N23_1","GRO_N23",69.4,30,2082,23,"México","Guerrero","Coyuca de Benítez","La Lima",16.9850833,-99.86388889,324,"National","Olotillo"
"olotillo_plate1","A2","CHIS_L35_2","CHIS_L35",66,30,1980,35,"México","Chiapas","Ocozocuatla","El Gavilán",NA,NA,NA,"Local","Olotillo"
"olotillo_plate1","B2","GRO_N26_4","GRO_N26",56.3,30,1689,26,"México","Guerrero","Coyuca de Benítez","Paso Real",17.08425,-100.0758333,136,"National","Olotillo"
"olotillo_plate1","C2","NAY_N27_2","NAY_N27",71.7,30,2151,27,"México","Nayarit","Ixtlán del Río","Cacalutan",21.1166833,-104.2615556,902,"National","Olotillo"
"olotillo_plate1","D2","NAY_N29_4","NAY_N29",40.9,30,1227,29,"México","Nayarit","Ixtlán del Río","Los Sauces, Cacalutan",21.1324167,-104.2629167,798,"National","Olotillo"
"olotillo_plate1","E2","CHIS_R10_1","CHIS_R10",58,30,1740,10,"México","Chiapas","Cintalapa","Villamorelos",16.47827842,-93.92893905,704.2106468,"Regional","Olotillo"
"olotillo_plate1","F2","CHIS_R40_2","CHIS_R40",25.8,30,774,40,"México","Chiapas","Chiapa de Corzo","Narciso Mendoza",16.57778189,-92.98854284,435.0801469,"Regional","Olotillo"
"olotillo_plate1","G2","CHIS_L42_3","CHIS_L42",33.6,30,1008,42,"México","Chiapas","Ocozocuatla","Rancho San Isidro",NA,NA,NA,"Local","Olotillo"
"olotillo_plate1","H2","CHIS_L45_2","CHIS_L45",43.2,30,1296,45,"México","Chiapas","Ocozocuatla","La Borcelana, Ejido Ocozocuatla",NA,NA,NA,"Local","Olotillo"
"olotillo_plate1","A3","CHIS_L08_2","CHIS_L08",49,30,1470,8,"México","Chiapas","Ocozocuatla","San Isidro, Ciénega Silviana_predio",NA,NA,NA,"Local","Olotillo"
"olotillo_plate1","B3","OAX_N31_4","OAX_N31",72.4,30,2172,31,"México","Oaxaca","","",NA,NA,NA,"National","Olotillo"
"olotillo_plate1","C3","GRO_N19_2","GRO_N19",33.8,30,1014,19,"México","Guerrero","San Luis Acatlán","Yoloxochitl",16.8155,-90.68991667,615,"National","Olotillo"
"olotillo_plate1","D3","CHIS_L33_1","CHIS_L33",73.8,30,2214,33,"México","Chiapas","Ocozocuatla","Rivera \El Gavilán\",NA,NA,NA,"Local","Olotillo"
"olotillo_plate1","E3","GRO_N20_1","GRO_N20",91.6,30,2748,20,"México","Guerrero","Coyuca de Benítez","Pueblo Viejo",17.0998889,-99.99258333,520,"National","Olotillo"
"olotillo_plate1","F3","CHIS_R06_2","CHIS_R06",55.4,30,1662,6,"México","Chiapas","Suchiapa","El Recreo \Plan de Mulumi\",16.63448026,-93.1205578,427.5911362,"Regional","Olotillo"
"olotillo_plate1","G3","VER_E2_1","VER_E48",51.8,30,1554,NA,"México","Veracruz","Tantoyuca","",NA,NA,NA,"Extra","Olotillo"
"olotillo_plate1","H3","NAY_N29_2","NAY_N29",39.7,30,1191,29,"México","Nayarit","Ixtlán del Río","Los Sauces, Cacalutan",21.1324167,-104.2629167,798,"National","Olotillo"
"olotillo_plate1","A4","SLP_E4_1","SLP_E49",37.3,30,1119,NA,"México","San Luis Potosí","Xilitla","",NA,NA,NA,"Extra","Olotillo"
